ID;Active (0/1);Categories (x,y,z...);On sale (0/1);Show price (0 = No, 1 = Yes);Name *;Price;Count;Image URLs (x,y,z...)
1;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-125 0,05;470;10;
2;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-125 0,1;437;10;
3;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-150 0,1;502;10;
4;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-150 0,05;540;10;
5;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-200 0,05;1128;10;
6;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-250 0,05;1307;10;
7;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-I-300 0,05;1590;10;
8;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-II-250 0,05;1536;10;
9;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-400 0,05;2398;10;
10;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-400 0,1;2320;10;
11;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-500 0,05;2795;10;
12;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-500 0,1;2700;10;
13;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-630 0,05;3420;10;
14;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-630 0,1;3210;10;
15;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-800 0,05;5910;10;
16;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-800 0,1;5800;10;
17;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1000 0,05;7690;10;
18;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1000 0,1;6850;10;
19;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1600 0,05;17980;10;
20;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-1600 0,1;17085;10;
21;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-2000 0,05;догово;10;
22;1;Штангенциркули механические;1;1;Штангенциркуль ШЦ-III-3000 0,05;догово;10;
23;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-125 0,01;1320;10;
24;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-150 0,01;1370;10;
25;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-200 0,01;3350;10;
26;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-250 0,01;4190;10;
27;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-I-300 0,01;4720;10;
28;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-II-250 0,01;5250;10;
29;1;Штангенциркули цифровые;1;1;Штангенциркуль ШЦЦ-II-300 0,01;7450;10;
30;1;Микрометры механические;1;1;Микрометр МК 25 0,01 кл.1;734;10;
31;1;Микрометры механические;1;1;Микрометр МК 50 0,01 кл.1;783;10;
32;1;Микрометры механические;1;1;Микрометр МК 75 0,01 кл.1;877;10;
33;1;Микрометры механические;1;1;Микрометр МК 100 0,01 кл.1;1013;10;
34;1;Микрометры механические;1;1;Микрометр МК 125 0,01 кл.1;1950;10;
35;1;Микрометры механические;1;1;Микрометр МК 150 0,01 кл.1;2296;10;
36;1;Микрометры механические;1;1;Микрометр МК 175 0,01 кл.1;2410;10;
37;1;Микрометры механические;1;1;Микрометр МК 200 0,01 кл.1;2625;10;
38;1;Микрометры механические;1;1;Микрометр МК 225 0,01 кл.1;2890;10;
39;1;Микрометры механические;1;1;Микрометр МК 250 0,01 кл.1;3150;10;
40;1;Микрометры механические;1;1;Микрометр МК 275 0,01 кл.1;3262;10;
41;1;Микрометры механические;1;1;Микрометр МК 300 0,01 кл.1;3573;10;
42;1;Микрометры механические;1;1;Микрометр МК 400 0,01 кл.1;11980;10;
43;1;Микрометры механические;1;1;Микрометр МК 500 0,01 кл.1;12520;10;
44;1;Микрометры механические;1;1;Микрометр МК 600 0,01 кл.1;13490;10;
45;1;Микрометры цифровые;1;1;Микрометр МКЦ 25 0,001;4577;10;
46;1;Микрометры цифровые;1;1;Микрометр МКЦ 50 0,001;5468;10;
47;1;Микрометры цифровые;1;1;Микрометр МКЦ 75 0,001;6121;10;
48;1;Микрометры цифровые;1;1;Микрометр МКЦ 100 0,001;7083;10;
49;1;Микрометры цифровые;1;1;Микрометр МКЦ 125 0,001;8868;10;
50;1;Микрометры цифровые;1;1;Микрометр МКЦ 150 0,001;9366;10;
51;1;Нутромеры индикаторные;1;1;Нутромер НИ 6-10 0,01;4320;10;
52;1;Нутромеры индикаторные;1;1;Нутромер НИ 10-18 0,01;4400;10;
53;1;Нутромеры индикаторные;1;1;Нутромер НИ 18-50 0,01;3620;10;
54;1;Нутромеры индикаторные;1;1;Нутромер НИ 50-100 0,01;3600;10;
55;1;Нутромеры индикаторные;1;1;Нутромер НИ 100-160 0,01;3700;10;
56;1;Нутромеры индикаторные;1;1;Нутромер НИ 160-250 0,01;3998;10;
